models,avg_understaff_det,std_understaff_det,avg_cost_det,avg_understaff_sto_100,std_understaff_sto_100,avg_cost_sto_100,avg_understaff_improvement_perc_100,vss_100,avg_cost_saving_perc_100,avg_understaff_sto_1000,std_understaff_sto_1000,avg_cost_sto_1000,avg_understaff_improvement_perc_1000,vss_1000,avg_cost_saving_perc_1000
AR-MSR,9.003968253968255,5.730995125634621,6485.31746031746,3.9063492063492062,3.8078291079001394,5607.460317460317,56.61524900837374,877.8571428571431,13.53607048889433,3.711904761904762,3.779929168426996,5601.666666666667,59.027595269382395,881.1111111111104,13.591567400805543
LR,11.97063492063492,5.706197840795832,7091.825396825397,4.046031746031746,3.843372120977865,5713.333333333333,66.20035801896175,1378.4920634920636,19.437760891704066,4.007936505943236,3.843846430489515,5743.968253450003,66.51859711271977,1347.8571433753932,19.005785787940457
LASSO,10.172222222222222,5.203379773048639,6731.825396825397,4.604761904761904,3.92818489376809,5705.873015873016,54.73199656705938,1025.9523809523807,15.240329635349733,4.542857142857143,3.866588281145299,5714.285714285715,55.34056331434813,1017.539682539682,15.115360582874516
ARIMA,10.211904761904762,4.980695173078336,6787.6984126984125,5.123015873015873,4.240387207476091,6012.936507936508,49.83290588326727,774.7619047619046,11.414206372405728,4.935714289770968,4.252158526503333,6005.952381966551,51.667055217910786,781.7460307318615,11.517100248139673
ETS,9.514285714285714,5.4221871480740464,6553.9682539682535,5.410317460317461,3.785645085802411,5826.9047619047615,43.134801468134796,727.063492063492,11.093485105352388,5.226190476190476,3.5955731004665754,5791.349206349207,45.07007007007007,762.6190476190468,11.635989343666736
RF,10.601587301587301,4.79723881607499,6809.3650793650795,5.6119047619047615,4.116186054092721,5879.920634920635,47.06542895643061,929.4444444444443,13.649502319401382,5.292857142857143,3.9358372305709777,5820.714285714285,50.07486150621351,988.6507936507942,14.518986456560768
NAIVE,9.853968253968254,5.512288975803448,6775.079365079365,5.576190476190476,4.205568164423466,6093.650793650793,43.41172680412372,681.4285714285716,10.05786847222548,5.434126984126984,4.248770558956428,6086.111111111111,44.853414948453604,688.9682539682535,10.169153995736
XGB,13.936507936507937,6.295031301787547,7592.6984126984125,6.045238095238095,4.231244784855364,5949.126984126984,56.623006833712985,1643.5714285714284,21.64673663084835,5.731746031746032,4.059459790133731,5894.285714285715,58.87243735763099,1698.4126984126979,22.369026215662494
LGB,9.473015873015873,4.871019691536018,6757.3015873015875,6.151587301587302,4.187621877153921,6098.9682539682535,35.06199731903485,658.3333333333339,9.74254774376924,6.1380952380952385,4.241327312268487,6102.063492063492,35.20442359249329,655.2380952380954,9.6967419135092
