model,Ward A,Ward B,Ward C,Ward D,Ward E,Ward F,Ward G,overall,metric
AR-MSR,3.3736325222806594,4.9479213593117475,3.2603664196995603,3.910014573851342,2.8003516710737717,3.7821741722087197,2.1052900735969664,3.4542501131461094,RMSE
LASSO,3.793185217596648,5.3414415585736315,4.075062540070708,2.318951228444537,3.0673181364467195,3.6857912371812858,2.0843451115078797,3.480870718545915,RMSE
LR,3.6233911417590305,5.664509055807773,3.7009041794708413,2.199278262453863,3.335766512790936,3.983706623960853,2.0800614715029813,3.51251674967804,RMSE
RF,3.956460859156175,5.071210553765478,4.382106481001265,2.639701270318182,2.867911956206467,4.090270065963361,2.09855798820284,3.5866027392305386,RMSE
ETS,3.698820423579899,5.486072037184399,3.8888902836483767,2.6065201189737772,3.602168307178825,3.9486120559406923,2.0481244272801713,3.611315379112306,RMSE
TimeGPT,4.095111878591425,5.507925562611942,3.779924129775609,2.758941878046337,3.407332852275019,3.660006772990124,2.5130292584559366,3.674610333249484,RMSE
ARIMA,3.6626558324765806,5.729905546461908,4.063826627378163,2.4632208678102034,3.7301396161063716,3.975072518826525,2.1983735929913717,3.689027800293018,RMSE
NAIVE,4.260987040964574,5.399299752142806,3.8926151003546345,2.8999988369509304,3.4483687089421675,3.7069920924559177,2.5809578448760058,3.7413170538124336,RMSE
XGB,4.22478572823843,5.253307070988415,5.14910494514314,2.5711249060260664,3.643394453862358,3.943407713572969,2.011702066389987,3.828118126317338,RMSE
LGB,3.9842762875188433,5.500139533944931,4.4003954354861134,4.0863227950048095,3.2894541131287798,3.862069763025887,1.9994134519250544,3.8745816257192027,RMSE
AR-MSR,1.0455875579861142,1.5255110475719946,0.9649518069053143,0.8689964743838985,0.8712152071667197,1.2153756722484013,0.6005890560222211,1.0131752603263806,Pinball
LR,1.0127193110566717,1.4982747879743534,0.9630251847086618,0.968044519050438,0.8450424718575041,1.2944118782428118,0.611701816919458,1.0276028528299856,Pinball
LASSO,1.1365554539073948,1.60614119344363,1.058390926918535,0.9122055708463677,0.8748794130505652,1.190900129362254,0.6100767774966529,1.0555927807179144,Pinball
RF,1.2496724479447863,1.6408161206700673,1.221364718972858,0.9167805244756493,0.8651444806631923,1.3531649571401048,0.63738417749596,1.1263324896232312,Pinball
XGB,1.226931581221036,1.6772289492956132,1.3256634397400446,0.813778291420804,0.9920388979708645,1.3489098199301053,0.6333462498260695,1.145413889914934,Pinball
ETS,1.2455434122277713,1.8065633587027037,1.107667894194592,0.9426031403408556,1.091016965316723,1.3512878351742563,0.6442709168543923,1.1698505032587563,Pinball
NAIVE,1.3831290847885516,1.7464382527182014,1.2219682238106846,0.965408082750928,1.1001625417693714,1.1280228171112354,0.803762038793292,1.1926987202488948,Pinball
ARIMA,1.1634417415669212,1.866146428689427,1.27782549302118,1.0002886569303275,1.1876041984552481,1.2097061055732412,0.668663566465396,1.1962394558145346,Pinball
LGB,1.1863909289942072,1.8339742459478732,1.1852349778567757,1.4146446159996908,0.9950716168133968,1.304311002239472,0.6319007856533069,1.221646881929246,Pinball
TimeGPT,1.448102945413886,1.9552222822739662,1.3348032419839704,0.976974874457276,1.2382143427588694,1.294727288827358,0.8674771408778873,1.3022174452276019,Pinball
PermEntropy,0.7600151178826429,0.723239948259235,0.7123187468675354,0.657460223717832,0.6131288328640623,0.6137260493073763,0.5632510909790247,0.6633057156968155,PermEntropy
AR-MSR,0.11507936507936507,1.6174603174603175,0.4222222222222222,0.010317460317460317,0.40476190476190477,0.9793650793650793,0.1626984126984127,3.711904761904762,STO
LR,0.21428571428571427,1.7126984107051404,0.5126984126984127,0.003968253968253968,0.2388888888888889,1.16984126984127,0.15555555555555556,4.007936505943236,STO
LASSO,0.42936507936507934,1.5658730158730159,0.9388888888888889,0.009523809523809525,0.16031746031746033,1.28015873015873,0.15873015873015872,4.542857142857143,STO
ARIMA,0.7317460317460317,1.7373015873015873,0.3523809523809524,0.015873015873015872,0.5357142857142857,1.25,0.31269841675509574,4.935714289770968,STO
ETS,0.2706349206349206,1.1396825396825396,0.6817460317460318,0.00873015873015873,1.3714285714285714,1.5952380952380953,0.15873015873015872,5.226190476190476,STO
RF,0.44206349206349205,1.7182539682539681,1.2301587301587302,0.06825396825396825,0.46904761904761905,1.2206349206349207,0.14444444444444443,5.292857142857143,STO
NAIVE,1.1365079365079365,1.5825396825396825,0.4095238095238095,0.10873015873015873,0.5349206349206349,1.2126984126984126,0.4492063492063492,5.434126984126984,STO
XGB,0.5952380952380952,1.2277777777777779,1.3912698412698412,0.024603174603174603,0.7436507936507937,1.5952380952380953,0.15396825396825398,5.731746031746032,STO
LGB,0.5571428571428572,1.619047619047619,1.284920634920635,0.013492063492063493,0.903968253968254,1.5952380952380953,0.16428571428571428,6.1380952380952385,STO
AR-MSR-PointForecasts,1.165873015873016,3.5841269841269843,1.342063492063492,0.1388888888888889,1.0793650793650793,1.5952380952380953,0.15396825396825398,9.05952380952381,STO
AR-MSR,833.5714285714286,1333.6507936507937,836.1904761904761,657.6984126984127,669.8412698412699,822.8571428571429,447.85714285714283,5601.666666666667,VSS
LASSO,883.2539682539683,1319.126984126984,931.8253968253969,676.3492063492064,615.5555555555555,841.3492063492064,446.8253968253968,5714.285714285715,VSS
LR,849.047619047619,1340.4761899579398,850.6349206349206,739.6031746031746,641.6666666666666,870.4761904761905,452.06349206349205,5743.968253450003,VSS
ETS,858.968253968254,1261.4285714285713,883.5714285714286,650.0793650793651,811.4285714285714,878.5714285714286,447.3015873015873,5791.349206349207,VSS
RF,883.0952380952381,1329.7619047619048,987.7777777777778,653.968253968254,675.7936507936508,836.984126984127,453.3333333333333,5820.714285714285,VSS
XGB,910.4761904761905,1262.936507936508,1017.3809523809524,633.2539682539683,745.4761904761905,878.5714285714286,446.1904761904762,5894.285714285715,VSS
ARIMA,932.6984126984127,1398.968253968254,909.2063492063492,699.8412698412699,725.7936507936508,845.1587301587301,494.285715299885,6005.952381966551,VSS
NAIVE,1041.7460317460318,1376.6666666666667,903.1746031746031,661.1904761904761,730.3174603174604,817.6190476190476,555.3968253968254,6086.111111111111,VSS
LGB,899.047619047619,1353.968253968254,1005.4761904761905,766.4285714285714,750.0793650793651,878.5714285714286,448.4920634920635,6102.063492063492,VSS
AR-MSR-PointForecasts,1022.6190476190476,1746.984126984127,1006.7460317460317,613.0952380952381,768.5714285714286,878.5714285714286,446.1904761904762,6482.777777777777,VSS
