model,Ward A,Ward B,Ward C,Ward D,Ward E,Ward F,Ward G,overall,overall_std,metric
AR-MSR,90.1,54.9,68.5,92.6,62.5,38.6,-5.7,59.0,34.5,STO
LR,81.6,52.2,61.8,97.1,77.9,26.7,-1.0,55.8,33.4,STO
LASSO,63.2,56.3,30.0,93.1,85.1,19.8,-3.1,49.9,33.0,STO
ARIMA,37.2,51.5,73.7,88.6,50.4,21.6,-103.1,45.5,26.3,STO
ETS,76.8,68.2,49.2,93.7,-27.1,0.0,-3.1,42.3,37.7,STO
RF,62.1,52.1,8.3,50.9,56.5,23.5,6.2,41.6,31.8,STO
NAIVE,2.5,55.8,69.5,21.7,50.4,24.0,-191.8,40.0,26.4,STO
XGB,48.9,65.7,-3.7,82.3,31.1,0.0,0.0,36.7,29.7,STO
LGB,52.2,54.8,4.3,90.3,16.2,0.0,-6.7,32.2,26.5,STO
AR-MSR-PointForecasts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STO
AR-MSR,18.5,23.7,16.9,-7.3,12.8,6.3,-0.4,13.6,34.6,VSS
LASSO,13.6,24.5,7.4,-10.3,19.9,4.2,-0.1,11.9,29.4,VSS
LR,17.0,23.3,15.5,-20.6,16.5,0.9,-1.3,11.4,33.0,VSS
ETS,16.0,27.8,12.2,-6.0,-5.6,0.0,-0.2,10.7,33.4,VSS
RF,13.6,23.9,1.9,-6.7,12.1,4.7,-1.6,10.2,30.6,VSS
XGB,11.0,27.7,-1.1,-3.3,3.0,0.0,0.0,9.1,25.2,VSS
ARIMA,8.8,19.9,9.7,-14.1,5.6,3.8,-10.8,7.4,26.4,VSS
NAIVE,-1.9,21.2,10.3,-7.8,5.0,6.9,-24.5,6.1,27.7,VSS
LGB,12.1,22.5,0.1,-25.0,2.4,0.0,-0.5,5.9,23.1,VSS
AR-MSR-PointForecasts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VSS
