models,avg_understaff_sto_empir,vss_empir,avg_understaff_sto_corr,vss_corr,imp_au_perc,imp_vss_perc,pval_au,pval_vss
AR-MSR,3.8825396825396825,878.9682539682535,3.711904761904762,881.1111111111104,4.394930498773504,-0.24379232505640397,3.602410614456457e-11,0.40875361874090477
LR,4.13968253968254,1323.730158730158,4.007936505943236,1347.8571433753932,3.1825153855736863,-1.8226512772346204,4.232794630600721e-07,0.000978223178349204
ETS,5.426984126984127,738.4126984126979,5.226190476190476,762.6190476190468,3.699912255045338,-3.278159931212347,3.144609730753399e-12,0.0005379838257110178
ARIMA,4.996031746031746,793.4920634920636,4.935714289770968,781.7460307318615,1.2073073056168433,1.480296187022865,0.04141841965140655,0.8716702853782606
XGB,5.979365079365079,1663.4920634920636,5.731746031746032,1698.4126984126979,4.141226440138041,-2.0992366412213337,3.48587390469893e-12,5.555835041221327e-05
LGB,6.2976190476190474,645.6349206349205,6.1380952380952385,655.2380952380954,2.5330812854442253,-1.4874001229256795,1.3207375856682069e-09,0.08679034358711228
RF,5.508730158730159,961.9841269841272,5.292857142857143,988.6507936507942,3.9187436968736513,-2.7720485108489705,2.0253249291191254e-10,0.001641938256440464
LASSO,4.734920634920635,1007.2222222222217,4.542857142857143,1017.539682539682,4.056319141803558,-1.0243479631234667,5.04698524714073e-06,0.20185496694845895
NAIVE,5.567460317460317,691.6666666666661,5.434126984126984,688.9682539682535,2.394868139700633,0.390131956396994,6.751095638387252e-05,0.6081012545264244
